date,item_id,item_name,category,qty_sold,revenue,day_of_week,week_of_year,month,is_weekend,event_type,event_name,has_promo,temp_c,precipitation_mm,feels_like_c,local_event_nearby,event_lift,is_promo_day,quarter,is_friday,is_holiday,dow_sin,dow_cos,month_sin,month_cos,days_to_weekend,lag_1,lag_2,lag_3,lag_7,lag_14,rolling_7,rolling_14,rolling_30,rolling_7_std,wow_delta,rain_dummy,heavy_rain,cold_day,hot_day,pleasant_day,lag7_SM07,item_enc,category_enc
2024-06-15,CB05,Craft Brioche Bun,comp,67,0,5,24,6,1,none,,0,2.8,0.0,2.7,0,0.0,0,2,0,0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0,98.0,36.0,41.0,66.0,94.0,51.285714285714285,51.42857142857143,,23.492653360247797,-28.0,0,0,1,0,0,53.0,0,3
2024-06-16,CB05,Craft Brioche Bun,comp,46,0,6,24,6,1,none,,0,-1.1,14.7,-6.1,0,0.0,0,2,0,0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,0,67.0,98.0,36.0,48.0,52.0,51.42857142857143,49.5,52.46666666666667,23.599838578947548,-4.0,1,0,1,0,0,43.0,0,3
2024-06-17,CB05,Craft Brioche Bun,comp,38,0,0,25,6,0,none,,0,2.7,0.0,1.2,0,0.0,0,2,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,4,46.0,67.0,98.0,31.0,36.0,51.142857142857146,49.07142857142857,52.0625,23.66029424604698,-5.0,0,0,1,0,0,31.0,0,3
2024-06-18,CB05,Craft Brioche Bun,comp,36,0,1,25,6,0,none,,0,-1.1,0.0,-1.0,0,0.0,0,2,0,0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,3,38.0,46.0,67.0,39.0,31.0,52.142857142857146,49.214285714285715,51.23529411764706,22.799331652693766,8.0,0,0,1,0,0,32.0,0,3
2024-06-19,CB05,Craft Brioche Bun,comp,36,0,2,25,6,0,none,,0,4.5,6.8,1.7,0,0.0,0,2,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,2,36.0,38.0,46.0,41.0,36.0,51.714285714285715,49.57142857142857,50.388888888888886,23.11359113677698,5.0,1,0,1,0,0,35.0,0,3
2024-06-20,CB05,Craft Brioche Bun,comp,42,0,3,25,6,0,none,,0,1.8,0.0,1.9,0,0.0,0,2,0,0,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,1,36.0,36.0,38.0,36.0,35.0,51.0,49.57142857142857,49.63157894736842,23.572582944316196,1.0,0,0,1,0,0,30.0,0,3
2024-06-21,CB05,Craft Brioche Bun,comp,52,0,4,25,6,0,none,,0,1.6,0.0,0.8,0,0.0,0,2,1,0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,0,42.0,36.0,36.0,98.0,77.0,51.857142857142854,50.07142857142857,49.25,23.039303891600632,21.0,0,0,1,0,0,58.0,0,3
2024-06-22,CB05,Craft Brioche Bun,comp,72,0,5,25,6,1,none,,0,0.2,0.0,-0.9,0,0.0,0,2,0,0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0,52.0,42.0,36.0,67.0,66.0,45.285714285714285,48.285714285714285,49.38095238095238,11.20586581087908,1.0,0,0,1,0,0,45.0,0,3
2024-06-23,CB05,Craft Brioche Bun,comp,49,0,6,25,6,1,none,,0,6.1,0.0,6.3,0,0.0,0,2,0,0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,0,72.0,52.0,42.0,46.0,48.0,46.0,48.714285714285715,50.40909090909091,12.858201014657277,-2.0,0,0,0,0,0,36.0,0,3
2024-06-24,CB05,Craft Brioche Bun,comp,37,0,0,26,6,0,none,,0,2.1,0.0,2.2,0,0.0,0,2,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,4,49.0,72.0,52.0,38.0,31.0,46.42857142857143,48.785714285714285,50.34782608695652,12.908100077821201,7.0,0,0,1,0,0,28.0,0,3
