date,item_id,item_name,category,qty_sold,revenue,day_of_week,week_of_year,month,is_weekend,event_type,event_name,has_promo
2024-06-01,WB01,Wagyu Burger,main,89,2492,5,22,6,1,concert,Local event,0
2024-06-01,PS02,Porcini Risotto,main,53,1272,5,22,6,1,concert,Local event,0
2024-06-01,TC03,Tuna Crudo,starter,46,828,5,22,6,1,concert,Local event,0
2024-06-01,TF04,Truffle Fries,side,118,1416,5,22,6,1,concert,Local event,0
2024-06-01,CB05,Craft Brioche Bun,comp,94,0,5,22,6,1,concert,Local event,0
2024-06-01,LM06,Lemon Tart,dessert,37,518,5,22,6,1,concert,Local event,0
2024-06-01,SM07,Smash Burger,main,63,1386,5,22,6,1,concert,Local event,0
2024-06-01,CS08,Caesar Salad,starter,56,896,5,22,6,1,concert,Local event,0
2024-06-02,WB01,Wagyu Burger,main,47,1316,6,22,6,1,none,,1
2024-06-02,PS02,Porcini Risotto,main,27,648,6,22,6,1,none,,1
2024-06-02,TC03,Tuna Crudo,starter,25,450,6,22,6,1,none,,1
2024-06-02,TF04,Truffle Fries,side,74,888,6,22,6,1,none,,1
2024-06-02,CB05,Craft Brioche Bun,comp,52,0,6,22,6,1,none,,1
2024-06-02,LM06,Lemon Tart,dessert,17,238,6,22,6,1,none,,1
2024-06-02,SM07,Smash Burger,main,35,770,6,22,6,1,none,,1
2024-06-02,CS08,Caesar Salad,starter,25,400,6,22,6,1,none,,1
2024-06-03,WB01,Wagyu Burger,main,39,1092,0,23,6,0,none,,0
2024-06-03,PS02,Porcini Risotto,main,22,528,0,23,6,0,none,,0
2024-06-03,TC03,Tuna Crudo,starter,20,360,0,23,6,0,none,,0
2024-06-03,TF04,Truffle Fries,side,43,516,0,23,6,0,none,,0
2024-06-03,CB05,Craft Brioche Bun,comp,36,0,0,23,6,0,none,,0
2024-06-03,LM06,Lemon Tart,dessert,17,238,0,23,6,0,none,,0
2024-06-03,SM07,Smash Burger,main,28,616,0,23,6,0,none,,0
2024-06-03,CS08,Caesar Salad,starter,21,336,0,23,6,0,none,,0
2024-06-04,WB01,Wagyu Burger,main,37,1036,1,23,6,0,none,,0
2024-06-04,PS02,Porcini Risotto,main,23,552,1,23,6,0,none,,0
2024-06-04,TC03,Tuna Crudo,starter,16,288,1,23,6,0,none,,0
2024-06-04,TF04,Truffle Fries,side,39,468,1,23,6,0,none,,0
2024-06-04,CB05,Craft Brioche Bun,comp,31,0,1,23,6,0,none,,0
2024-06-04,LM06,Lemon Tart,dessert,13,182,1,23,6,0,none,,0
2024-06-04,SM07,Smash Burger,main,28,616,1,23,6,0,none,,0
2024-06-04,CS08,Caesar Salad,starter,17,272,1,23,6,0,none,,0
2024-06-05,WB01,Wagyu Burger,main,37,1036,2,23,6,0,none,,0
2024-06-05,PS02,Porcini Risotto,main,23,552,2,23,6,0,none,,0
2024-06-05,TC03,Tuna Crudo,starter,18,324,2,23,6,0,none,,0
2024-06-05,TF04,Truffle Fries,side,41,492,2,23,6,0,none,,0
2024-06-05,CB05,Craft Brioche Bun,comp,36,0,2,23,6,0,none,,0
2024-06-05,LM06,Lemon Tart,dessert,15,210,2,23,6,0,none,,0
2024-06-05,SM07,Smash Burger,main,29,638,2,23,6,0,none,,0
2024-06-05,CS08,Caesar Salad,starter,22,352,2,23,6,0,none,,0
2024-06-06,WB01,Wagyu Burger,main,30,840,3,23,6,0,none,,0
2024-06-06,PS02,Porcini Risotto,main,22,528,3,23,6,0,none,,0
2024-06-06,TC03,Tuna Crudo,starter,20,360,3,23,6,0,none,,0
2024-06-06,TF04,Truffle Fries,side,44,528,3,23,6,0,none,,0
2024-06-06,CB05,Craft Brioche Bun,comp,35,0,3,23,6,0,none,,0
2024-06-06,LM06,Lemon Tart,dessert,14,196,3,23,6,0,none,,0
2024-06-06,SM07,Smash Burger,main,27,594,3,23,6,0,none,,0
2024-06-06,CS08,Caesar Salad,starter,22,352,3,23,6,0,none,,0
2024-06-07,WB01,Wagyu Burger,main,86,2408,4,23,6,0,concert,Local event,0
2024-06-07,PS02,Porcini Risotto,main,57,1368,4,23,6,0,concert,Local event,0
2024-06-07,TC03,Tuna Crudo,starter,45,810,4,23,6,0,concert,Local event,0
2024-06-07,TF04,Truffle Fries,side,93,1116,4,23,6,0,concert,Local event,0
2024-06-07,CB05,Craft Brioche Bun,comp,77,0,4,23,6,0,concert,Local event,0
2024-06-07,LM06,Lemon Tart,dessert,31,434,4,23,6,0,concert,Local event,0
2024-06-07,SM07,Smash Burger,main,66,1452,4,23,6,0,concert,Local event,0
2024-06-07,CS08,Caesar Salad,starter,51,816,4,23,6,0,concert,Local event,0
2024-06-08,WB01,Wagyu Burger,main,68,1904,5,23,6,1,none,,0
2024-06-08,PS02,Porcini Risotto,main,39,936,5,23,6,1,none,,0
2024-06-08,TC03,Tuna Crudo,starter,37,666,5,23,6,1,none,,0
2024-06-08,TF04,Truffle Fries,side,88,1056,5,23,6,1,none,,0
2024-06-08,CB05,Craft Brioche Bun,comp,66,0,5,23,6,1,none,,0
2024-06-08,LM06,Lemon Tart,dessert,30,420,5,23,6,1,none,,0
2024-06-08,SM07,Smash Burger,main,53,1166,5,23,6,1,none,,0
2024-06-08,CS08,Caesar Salad,starter,47,752,5,23,6,1,none,,0
2024-06-09,WB01,Wagyu Burger,main,44,1232,6,23,6,1,none,,0
2024-06-09,PS02,Porcini Risotto,main,32,768,6,23,6,1,none,,0
2024-06-09,TC03,Tuna Crudo,starter,24,432,6,23,6,1,none,,0
2024-06-09,TF04,Truffle Fries,side,52,624,6,23,6,1,none,,0
2024-06-09,CB05,Craft Brioche Bun,comp,48,0,6,23,6,1,none,,0
2024-06-09,LM06,Lemon Tart,dessert,24,336,6,23,6,1,none,,0
2024-06-09,SM07,Smash Burger,main,43,946,6,23,6,1,none,,0
2024-06-09,CS08,Caesar Salad,starter,31,496,6,23,6,1,none,,0
2024-06-10,WB01,Wagyu Burger,main,35,980,0,24,6,0,none,,0
2024-06-10,PS02,Porcini Risotto,main,29,696,0,24,6,0,none,,0
2024-06-10,TC03,Tuna Crudo,starter,19,342,0,24,6,0,none,,0
2024-06-10,TF04,Truffle Fries,side,39,468,0,24,6,0,none,,0
2024-06-10,CB05,Craft Brioche Bun,comp,31,0,0,24,6,0,none,,0
2024-06-10,LM06,Lemon Tart,dessert,18,252,0,24,6,0,none,,0
2024-06-10,SM07,Smash Burger,main,31,682,0,24,6,0,none,,0
2024-06-10,CS08,Caesar Salad,starter,27,432,0,24,6,0,none,,0
2024-06-11,WB01,Wagyu Burger,main,33,924,1,24,6,0,none,,1
2024-06-11,PS02,Porcini Risotto,main,28,672,1,24,6,0,none,,1
2024-06-11,TC03,Tuna Crudo,starter,20,360,1,24,6,0,none,,1
2024-06-11,TF04,Truffle Fries,side,69,828,1,24,6,0,none,,1
2024-06-11,CB05,Craft Brioche Bun,comp,39,0,1,24,6,0,none,,1
2024-06-11,LM06,Lemon Tart,dessert,19,266,1,24,6,0,none,,1
2024-06-11,SM07,Smash Burger,main,32,704,1,24,6,0,none,,1
2024-06-11,CS08,Caesar Salad,starter,23,368,1,24,6,0,none,,1
2024-06-12,WB01,Wagyu Burger,main,42,1176,2,24,6,0,none,,1
2024-06-12,PS02,Porcini Risotto,main,25,600,2,24,6,0,none,,1
2024-06-12,TC03,Tuna Crudo,starter,20,360,2,24,6,0,none,,1
2024-06-12,TF04,Truffle Fries,side,67,804,2,24,6,0,none,,1
2024-06-12,CB05,Craft Brioche Bun,comp,41,0,2,24,6,0,none,,1
2024-06-12,LM06,Lemon Tart,dessert,19,266,2,24,6,0,none,,1
2024-06-12,SM07,Smash Burger,main,35,770,2,24,6,0,none,,1
2024-06-12,CS08,Caesar Salad,starter,23,368,2,24,6,0,none,,1
2024-06-13,WB01,Wagyu Burger,main,39,1092,3,24,6,0,none,,0
2024-06-13,PS02,Porcini Risotto,main,25,600,3,24,6,0,none,,0
2024-06-13,TC03,Tuna Crudo,starter,21,378,3,24,6,0,none,,0
2024-06-13,TF04,Truffle Fries,side,42,504,3,24,6,0,none,,0
2024-06-13,CB05,Craft Brioche Bun,comp,36,0,3,24,6,0,none,,0
2024-06-13,LM06,Lemon Tart,dessert,19,266,3,24,6,0,none,,0
2024-06-13,SM07,Smash Burger,main,30,660,3,24,6,0,none,,0
2024-06-13,CS08,Caesar Salad,starter,28,448,3,24,6,0,none,,0
2024-06-14,WB01,Wagyu Burger,main,78,2184,4,24,6,0,concert,Local event,1
2024-06-14,PS02,Porcini Risotto,main,48,1152,4,24,6,0,concert,Local event,1
2024-06-14,TC03,Tuna Crudo,starter,46,828,4,24,6,0,concert,Local event,1
2024-06-14,TF04,Truffle Fries,side,140,1680,4,24,6,0,concert,Local event,1
2024-06-14,CB05,Craft Brioche Bun,comp,98,0,4,24,6,0,concert,Local event,1
2024-06-14,LM06,Lemon Tart,dessert,39,546,4,24,6,0,concert,Local event,1
2024-06-14,SM07,Smash Burger,main,58,1276,4,24,6,0,concert,Local event,1
2024-06-14,CS08,Caesar Salad,starter,48,768,4,24,6,0,concert,Local event,1
2024-06-15,WB01,Wagyu Burger,main,65,1820,5,24,6,1,none,,0
2024-06-15,PS02,Porcini Risotto,main,39,936,5,24,6,1,none,,0
2024-06-15,TC03,Tuna Crudo,starter,35,630,5,24,6,1,none,,0
2024-06-15,TF04,Truffle Fries,side,83,996,5,24,6,1,none,,0
2024-06-15,CB05,Craft Brioche Bun,comp,67,0,5,24,6,1,none,,0
2024-06-15,LM06,Lemon Tart,dessert,27,378,5,24,6,1,none,,0
2024-06-15,SM07,Smash Burger,main,45,990,5,24,6,1,none,,0
2024-06-15,CS08,Caesar Salad,starter,46,736,5,24,6,1,none,,0
2024-06-16,WB01,Wagyu Burger,main,41,1148,6,24,6,1,none,,0
2024-06-16,PS02,Porcini Risotto,main,26,624,6,24,6,1,none,,0
2024-06-16,TC03,Tuna Crudo,starter,22,396,6,24,6,1,none,,0
2024-06-16,TF04,Truffle Fries,side,42,504,6,24,6,1,none,,0
2024-06-16,CB05,Craft Brioche Bun,comp,46,0,6,24,6,1,none,,0
2024-06-16,LM06,Lemon Tart,dessert,18,252,6,24,6,1,none,,0
2024-06-16,SM07,Smash Burger,main,36,792,6,24,6,1,none,,0
2024-06-16,CS08,Caesar Salad,starter,26,416,6,24,6,1,none,,0
2024-06-17,WB01,Wagyu Burger,main,40,1120,0,25,6,0,none,,0
2024-06-17,PS02,Porcini Risotto,main,24,576,0,25,6,0,none,,0
2024-06-17,TC03,Tuna Crudo,starter,21,378,0,25,6,0,none,,0
2024-06-17,TF04,Truffle Fries,side,44,528,0,25,6,0,none,,0
2024-06-17,CB05,Craft Brioche Bun,comp,38,0,0,25,6,0,none,,0
2024-06-17,LM06,Lemon Tart,dessert,17,238,0,25,6,0,none,,0
2024-06-17,SM07,Smash Burger,main,28,616,0,25,6,0,none,,0
2024-06-17,CS08,Caesar Salad,starter,26,416,0,25,6,0,none,,0
2024-06-18,WB01,Wagyu Burger,main,35,980,1,25,6,0,none,,0
2024-06-18,PS02,Porcini Risotto,main,25,600,1,25,6,0,none,,0
2024-06-18,TC03,Tuna Crudo,starter,20,360,1,25,6,0,none,,0
2024-06-18,TF04,Truffle Fries,side,45,540,1,25,6,0,none,,0
2024-06-18,CB05,Craft Brioche Bun,comp,36,0,1,25,6,0,none,,0
2024-06-18,LM06,Lemon Tart,dessert,17,238,1,25,6,0,none,,0
2024-06-18,SM07,Smash Burger,main,29,638,1,25,6,0,none,,0
2024-06-18,CS08,Caesar Salad,starter,20,320,1,25,6,0,none,,0
2024-06-19,WB01,Wagyu Burger,main,35,980,2,25,6,0,none,,0
2024-06-19,PS02,Porcini Risotto,main,21,504,2,25,6,0,none,,0
2024-06-19,TC03,Tuna Crudo,starter,16,288,2,25,6,0,none,,0
2024-06-19,TF04,Truffle Fries,side,40,480,2,25,6,0,none,,0
2024-06-19,CB05,Craft Brioche Bun,comp,36,0,2,25,6,0,none,,0
2024-06-19,LM06,Lemon Tart,dessert,16,224,2,25,6,0,none,,0
2024-06-19,SM07,Smash Burger,main,29,638,2,25,6,0,none,,0
2024-06-19,CS08,Caesar Salad,starter,18,288,2,25,6,0,none,,0
2024-06-20,WB01,Wagyu Burger,main,39,1092,3,25,6,0,none,,0
2024-06-20,PS02,Porcini Risotto,main,34,816,3,25,6,0,none,,0
2024-06-20,TC03,Tuna Crudo,starter,22,396,3,25,6,0,none,,0
2024-06-20,TF04,Truffle Fries,side,53,636,3,25,6,0,none,,0
